cnes,name,type,ibge_city_code,city,state,neighborhood_id,neighborhood,lat,lng,teams,source,official_type_code,official_type_description,last_updated,sus_ambulatory,dataset_status
2340208,CAIS I,CAIS,5212501,Luziania,GO,setor-fumal,SETOR FUMAL,-16.265807403575383,-47.95530080795288,0,CNES API Dados Abertos MS,2,CENTRO DE SAUDE/UNIDADE BASICA,2025-09-03,SIM,official_verified
0640611,COMPLEXO DE ESPECIALIDADES MEDICAS DO ENTERNO CEME,HOSPITAL,5212501,Luziania,GO,jardim-do-inga,JARDIM DO INGA,-16.141846144587824,-47.94905662536621,0,CNES API Dados Abertos MS,62,HOSPITAL/DIA - ISOLADO,2025-09-03,SIM,official_verified
2340194,HOSPITAL ESTADUAL DE LUZIANIA,HOSPITAL,5212501,Luziania,GO,parque-estrela-dalva,PARQUE ESTRELA DALVA,-16.2511133,-47.9274618,0,CNES API Dados Abertos MS,5,HOSPITAL GERAL,2025-09-03,SIM,official_verified
5882451,HOSPITAL MUNICIPAL DO JARDIM INGA,HOSPITAL,5212501,Luziania,GO,jardim-inga,JARDIM INGA,-16.142856116908117,-47.96051502227783,0,CNES API Dados Abertos MS,5,HOSPITAL GERAL,2025-09-03,SIM,official_verified
2340429,HOSPITAL SANTA LUZIA,HOSPITAL,5212501,Luziania,GO,luziania-centro,LUZIANIA CENTRO,-16.25060491742997,-47.950730323791504,0,CNES API Dados Abertos MS,5,HOSPITAL GERAL,2025-09-03,SIM,official_verified
6420923,CENTRO DE ATENCAO PSICOSSOCIAL CAPS II,OUTRO,5212501,Luziania,GO,centro,CENTRO,-16.251686433963503,-47.95529007911682,0,CNES API Dados Abertos MS,70,CENTRO DE ATENCAO PSICOSSOCIAL,2025-09-03,SIM,official_verified
3058999,CENTRO DE TESTAGEM E ACONSELHAMENTO,OUTRO,5212501,Luziania,GO,setor-fumal,SETOR FUMAL,-16.26045164836626,-47.957661151885986,0,CNES API Dados Abertos MS,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2025-09-03,SIM,official_verified
3492222,CENTRO ESPECIALIZADO DE ODONTOLOGIA CEO,OUTRO,5212501,Luziania,GO,setor-fumal,SETOR FUMAL,-16.264283088115075,-47.95978546142578,0,CNES API Dados Abertos MS,36,CLINICA/CENTRO DE ESPECIALIDADE,2025-09-03,SIM,official_verified
9530924,CENTRO ESPECIALIZADO EM REABILITACAO CER II DE LUZIANIA,OUTRO,5212501,Luziania,GO,setor-aeroporto,SETOR AEROPORTO,-16.26275876082346,-47.96034336090088,0,CNES API Dados Abertos MS,36,CLINICA/CENTRO DE ESPECIALIDADE,2025-09-11,SIM,official_verified
4539869,CLINICA MED CENTER,OUTRO,5212501,Luziania,GO,centro,CENTRO,-16.254910347937624,-47.95788377523422,0,CNES API Dados Abertos MS,36,CLINICA/CENTRO DE ESPECIALIDADE,2025-09-03,SIM,official_verified
